#{"t_start": 1746424327.518247, "env_id": null}
r,l,t
-1458.234943,1428,3622.302887
-1653.636727,1428,3633.942537
-1029.127101,1428,3645.399999
-1022.828215,1428,3656.949781
-1156.332288,1428,3668.510726
-1150.497749,1428,3679.982411
-950.265643,1428,3691.542445
-1184.06927,1428,3703.051079
-1548.595694,1428,3714.567083
-1473.839724,1428,3726.005047
-1199.986412,1428,3737.41203
-1471.841407,1428,3748.95581
-1312.372895,1428,3760.415224
-1135.44706,1428,3771.810939
-1557.147916,1428,3783.022426
-1024.179129,1428,3794.251422
-1125.444088,1428,3805.745718
-2147.325332,1428,3817.406659
-1694.110792,1428,3828.932402
-1503.143568,1428,3840.413259
-1320.062346,1428,3852.046736
-1560.736296,1428,3863.588601
-1701.7059,1428,3875.223353
-1135.140857,1428,3886.683183
-1333.515375,1428,3898.24049
-949.982819,1428,3909.765812
-1463.640025,1428,3921.339889
-1634.05315,1428,3932.935162
-1068.183746,1428,3944.527818
-1362.212397,1428,3956.117764
-1653.242074,1428,3967.612809
-1128.460531,1428,3979.171001
-1691.324833,1428,3990.532436
-918.049226,1428,4001.799108
-1885.775441,1428,4013.154146
-1354.963234,1428,4024.577642
-1299.852628,1428,4035.928371
-1104.437345,1428,4047.049385
-1374.114685,1428,4058.235983
-1536.48477,1428,4069.517704
-1386.745445,1428,4081.008635
-1827.635549,1428,4092.897534
-1021.57025,1428,4104.743497
-1255.603252,1428,4116.603281
-1398.365946,1428,4128.491317
-1291.580055,1428,4140.291044
-1714.771532,1428,4152.025439
-1354.646092,1428,4163.895534
-1168.709796,1428,4175.742418
-1475.581933,1428,4187.623131
-1179.835903,1428,4199.435188
-1405.598767,1428,4211.151814
-1489.361177,1428,4223.005177
-969.092816,1428,4234.924992
-820.87837,1428,4246.821069
-1665.821875,1428,4258.624523
-1497.98834,1428,4270.504328
-1334.800576,1428,4282.46965
-1682.409418,1428,4294.219165
-1648.69306,1428,4306.131053
-1208.63277,1428,4317.94032
-1388.631297,1428,4329.630808
-1302.266804,1428,4341.411782
-1091.222244,1428,4353.169457
-1702.513061,1428,4365.001078
-1414.040506,1428,4377.055051
-1863.454858,1428,4389.043777
-1439.454193,1428,4401.064067
-1368.929448,1428,4412.882826
-1440.771709,1428,4424.987455
-1318.871705,1428,4437.090558
-1031.907759,1428,4449.269568
-1409.858602,1428,4461.360314
-855.044696,1428,4473.509721
-1502.007383,1428,4485.595567
-1947.176528,1428,4497.765544
-1821.119297,1428,4509.859775
-1478.978027,1428,4521.958548
