#{"t_start": 1746161698.9439378, "env_id": null}
r,l,t
-268.096627,1428,5117.185287
-979.779517,1428,5129.448853
-1231.804542,1428,5141.908857
-395.171305,1428,5154.206933
-550.089379,1428,5166.393853
-536.312788,1428,5178.549307
-1183.481941,1428,5190.655009
-797.021405,1428,5202.798854
-349.532425,1428,5214.964251
-543.392806,1428,5227.076431
-715.576483,1428,5239.152499
-557.694922,1428,5251.312095
-398.537785,1428,5263.471238
-822.822472,1428,5275.57473
-717.908927,1428,5287.575301
-427.561851,1428,5300.197028
-723.61067,1428,5312.573893
-352.566833,1428,5324.706982
-827.212812,1428,5336.844238
-1045.796313,1428,5348.968693
-796.420663,1428,5361.414315
-632.103926,1428,5373.642358
-866.298824,1428,5385.808242
-593.321916,1428,5398.05995
-1373.18968,1428,5410.265288
-615.086999,1428,5422.578852
-368.339967,1428,5434.985652
-591.057324,1428,5447.198875
-905.977019,1428,5459.208663
-751.810751,1428,5471.316319
-489.723928,1428,5483.416616
-1068.611878,1428,5495.488076
-1160.496505,1428,5507.557851
-563.29538,1428,5519.83923
-334.752804,1428,5532.198017
-844.409049,1428,5544.412524
-527.22915,1428,5556.687282
-218.281751,1428,5568.916494
-1070.055051,1428,5581.220939
-235.59399,1428,5593.3631
-400.904102,1428,5605.657889
-794.680494,1428,5617.969309
-586.104151,1428,5630.15525
-823.046018,1428,5642.290873
-1121.64757,1428,5654.438383
-347.422116,1428,5666.505538
-527.869973,1428,5678.617801
-889.523239,1428,5690.792236
-414.805364,1428,5702.777479
-541.8691,1428,5714.772485
-712.46889,1428,5726.83602
-763.111528,1428,5739.053121
-402.064289,1428,5751.39139
-572.338486,1428,5763.401548
-759.390986,1428,5775.675711
-1348.007829,1428,5787.92609
-699.680313,1428,5800.073277
-581.059113,1428,5812.235387
-279.655502,1428,5824.328362
-743.019942,1428,5836.553668
-283.187205,1428,5848.561898
-225.103764,1428,5860.640927
-797.859202,1428,5872.94029
-697.034546,1428,5884.949241
-531.015621,1428,5897.246862
-493.719877,1428,5909.400219
-1268.057501,1428,5921.570928
-485.442024,1428,5933.788276
-887.763745,1428,5945.895452
-556.296244,1428,5958.020368
-508.560477,1428,5970.016832
-861.858889,1428,5982.19127
-1336.57812,1428,5994.28161
-751.657032,1428,6006.392037
-395.068843,1428,6018.612008
-444.234259,1428,6030.728945
-692.798329,1428,6042.814671
-142.324683,1428,6054.971538
-924.48934,1428,6067.101064
-305.720179,1428,6079.295307
-373.819995,1428,6091.54969
-920.052579,1428,6103.743441
-682.630223,1428,6115.473046
-545.402228,1428,6126.992886
-616.849144,1428,6138.531468
-613.31738,1428,6150.399626
-600.022341,1428,6162.041712
-218.88306,1428,6173.615873
-270.992808,1428,6185.14486
-474.92395,1428,6196.696928
-465.761946,1428,6208.279911
-619.416644,1428,6219.861349
-661.164515,1428,6231.424702
-821.449429,1428,6243.049704
-269.218651,1428,6254.843859
-724.581175,1428,6266.428915
-1064.632265,1428,6278.001201
-746.974285,1428,6289.498446
-825.355626,1428,6301.144001
-37.596806,1428,6312.931234
-810.315191,1428,6324.656498
-279.847539,1428,6336.427388
-1168.679628,1428,6348.273331
-697.800279,1428,6359.914752
-531.218951,1428,6371.573761
-831.85962,1428,6383.123534
-264.924234,1428,6394.748985
-164.644733,1428,6406.308841
-571.943226,1428,6417.923728
-976.314876,1428,6429.606856
-1098.641352,1428,6441.308888
-1369.881762,1428,6452.901239
-778.857419,1428,6464.502125
310.493498,1428,6476.155079
-700.329664,1428,6487.696849
-429.106352,1428,6499.366086
-544.468789,1428,6510.862705
-765.704537,1428,6522.6067
-854.022937,1428,6534.209178
-701.94731,1428,6545.872515
-492.191807,1428,6557.421023
-787.917451,1428,6569.303381
-619.094792,1428,6581.075809
-744.315618,1428,6592.708194
-481.484553,1428,6604.385647
-702.908315,1428,6616.114644
-465.722148,1428,6627.719046
-437.023337,1428,6639.285897
-409.337755,1428,6650.831998
-816.833818,1428,6662.565699
-694.983266,1428,6674.230192
-879.040476,1428,6685.81161
-668.713584,1428,6697.456021
-688.073772,1428,6709.221456
-658.246544,1428,6720.945674
-365.831371,1428,6732.716822
-1178.259502,1428,6744.368495
-273.806368,1428,6756.083655
-917.734902,1428,6767.692016
24.285581,1428,6779.418878
-434.133836,1428,6791.176173
-475.460969,1428,6803.267274
-447.225708,1428,6815.301178
-812.987629,1428,6827.336669
-310.568151,1428,6839.391534
-603.40613,1428,6851.568616
-460.379476,1428,6863.474187
-703.248945,1428,6875.467728
-294.242013,1428,6887.410152
-456.750149,1428,6899.597303
-697.566701,1428,6911.64229
-854.438863,1428,6923.644285
-1170.795005,1428,6935.609021
-332.749081,1428,6947.473719
-113.911892,1428,6959.360395
-1028.779119,1428,6971.227536
-490.430729,1428,6983.103848
-1365.049992,1428,6995.035211
-729.477907,1428,7006.942918
-815.952667,1428,7018.800291
-593.592458,1428,7030.697755
-874.013606,1428,7042.701319
-580.043361,1428,7054.537756
-426.434388,1428,7066.447608
-1023.532604,1428,7078.39926
-784.875466,1428,7090.728252
-714.889206,1428,7102.655333
-928.590877,1428,7114.710145
-847.955208,1428,7126.533833
-811.700956,1428,7138.392622
-229.811161,1428,7150.2472
-98.500666,1428,7162.083878
-909.452658,1428,7173.931535
-573.178941,1428,7185.813405
-939.068991,1428,7197.632902
-496.071361,1428,7209.573446
394.184895,1428,7221.435985
-1132.172944,1428,7233.296865
-305.104743,1428,7245.254102
-581.216856,1428,7257.159185
-560.681236,1428,7269.253764
-642.942584,1428,7281.238091
-452.008121,1428,7293.129019
-740.130932,1428,7305.059952
-544.185935,1428,7316.871986
-867.672285,1428,7328.710775
-747.65047,1428,7340.418661
-678.851822,1428,7352.420371
-1023.925944,1428,7364.353002
-906.658362,1428,7376.137609
-1052.572915,1428,7387.981562
-616.896707,1428,7399.872887
-510.371405,1428,7411.756777
186.415157,1428,7423.599783
-652.656778,1428,7435.600813
-661.989641,1428,7447.465824
-474.644339,1428,7459.435576
-380.661177,1428,7471.330084
-140.910002,1428,7483.083179
-543.497362,1428,7495.012682
-764.253206,1428,7506.994961
-555.425313,1428,7518.9599
-605.45746,1428,7530.707091
-1332.105434,1428,7542.558562
-593.926821,1428,7554.435415
-501.202725,1428,7566.296408
-259.360083,1428,7578.266113
-584.230973,1428,7590.169028
-610.459308,1428,7601.980248
-209.193846,1428,7613.869955
-459.348831,1428,7625.876135
-268.128679,1428,7637.878704
-444.437169,1428,7649.71597
-411.716328,1428,7661.537509
-304.512253,1428,7673.452476
-189.887456,1428,7685.310668
-633.374461,1428,7697.132746
-430.201465,1428,7709.045791
-445.835227,1428,7721.113942
-1133.030072,1428,7732.988818
-593.639343,1428,7744.960429
-151.041096,1428,7757.745702
-1077.869465,1428,7770.137378
-652.60407,1428,7781.961935
-1312.209229,1428,7793.756959
-1442.767847,1428,7805.532131
-945.36411,1428,7817.462301
-346.64483,1428,7829.295507
-639.613574,1428,7841.170863
-648.226572,1428,7853.08055
-305.793679,1428,7865.035055
-474.398791,1428,7876.836289
-1105.444454,1428,7888.707219
-176.313582,1428,7900.553402
-266.301581,1428,7912.526316
